"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"86","1578_3","1578_3","1578_22",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"87","1578_3","1578_3","1578_23",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"88","1578_3","1578_3","1578_24",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",3,1
"89","1578_3","1578_3","1578_25",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"90","1578_3","1578_3","1578_27",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",3,1
"91","1578_3","1578_3","1578_28",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"92","1578_3","1578_3","1578_29",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"93","1578_3","1578_3","1578_30",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"94","1582_3","1582_3","1582_1",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",1,0
"95","1584_1","1584_1","1584_1",1584,"McKeon2013",3.49185,-60.92608333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"96","1584_10","1584_10","1584_1",1584,"McKeon2013",2.767033333,-60.7076,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","urban","Urban","intense","urban-substantial",2,1
"97","1584_11","1584_11","1584_1",1584,"McKeon2013",2.8335,-60.81753333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",2,1
"98","1584_12","1584_12","1584_1",1584,"McKeon2013",2.819516667,-60.80265,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"99","1584_13","1584_13","1584_1",1584,"McKeon2013",2.50535,-61.28388333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
