"","site_number","study_number","lon","lat","X.1","X","reference","site_name","study_block","country","habitat_description","land_use_specific","land_use","land_use_intensity","species_study_name","genus","species","metric","sample_month","sample_start","sample_start_year","sample_end","sampling_method","sampling_effort","sampling_effort_unit","collection","sample_season","sample_daytime","development_stage","measurement","adjusted_measurement","species_studied","eco_name","biome","study_sample","measurement_adj","species_name","land_use_intensity_agg","LUI","cells_deforestation","deforest_prop"
"32","1432_3",1432,-74.21025278,-4.193180556,6971,24988,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","July","2015-05",2015,"2015-09","HLC",24,"man hours","indoor","wet","night","adult",52,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_12",2.16666666666667,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"33","1432_3",1432,-74.21025278,-4.193180556,6972,24989,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","July","2015-05",2015,"2015-09","HLC",24,"man hours","outdoor","wet","night","adult",93,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_26",3.875,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"34","1432_3",1432,-74.21025278,-4.193180556,6969,24986,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","August","2015-05",2015,"2015-09","HLC",24,"man hours","indoor","dry","night","adult",48,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_4",2,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"35","1432_3",1432,-74.21025278,-4.193180556,6970,24987,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","August","2015-05",2015,"2015-09","HLC",24,"man hours","outdoor","dry","night","adult",70,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_18",2.91666666666667,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"36","1432_3",1432,-74.21025278,-4.193180556,6975,24992,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","September","2015-05",2015,"2015-09","HLC",24,"man hours","outdoor","dry","night","adult",28,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_19",1.16666666666667,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"37","1432_3",1432,-74.21025278,-4.193180556,6976,24993,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","May","2015-05",2015,"2015-09","HLC",24,"man hours","indoor","wet","night","adult",26,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_14",1.08333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"38","1432_3",1432,-74.21025278,-4.193180556,6977,24994,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","May","2015-05",2015,"2015-09","HLC",24,"man hours","outdoor","wet","night","adult",75,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_28",3.125,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"39","1432_3",1432,-74.21025278,-4.193180556,6973,24990,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","June","2015-05",2015,"2015-09","HLC",24,"man hours","indoor","wet","night","adult",57,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_13",2.375,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"40","1432_3",1432,-74.21025278,-4.193180556,6974,24991,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","September","2015-05",2015,"2015-09","HLC",24,"man hours","indoor","dry","night","adult",11,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_5",0.458333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
"41","1489_1",1489,-46.6357166666667,-23.4510333333333,7062,25227,"Wilk2020","Administration area","1489_1","Brazil","daily circulation of employees, fewer visitors, regenerated vegetation","Atlantic forest","secondary vegetation","light","Aedes aegypti","Aedes","aegypti","nocturnal adults","Jan-Dec","2015-02",2017,"2017-04","CDC light trap with CO2 and Shannon trap",20,"collection days","outdoor",NA,"18:00-06:00","adult",0,NA,"multiple","Serra do Mar coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1489_3",0,"Aedes aegypti","substantial","secondary vegetation-substantial",0,0
"42","1489_1",1489,-46.6357166666667,-23.4510333333333,7063,25228,"Wilk2020","Administration area","1489_1","Brazil","daily circulation of employees, fewer visitors, regenerated vegetation","Atlantic forest","secondary vegetation","light","Aedes albopictus","Aedes","albopictus","diurnal adults","Jan-Dec","2015-02",2017,"2017-04","CDC light trap with CO2 and aspirator",20,"collection days","outdoor",NA,"14:00-18:00","adult",0,NA,"multiple","Serra do Mar coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1489_2",0,"Aedes albopictus","substantial","secondary vegetation-substantial",0,0
