"","X","study_number","lon","lat","reference","site_name","site_number","study_block","country","habitat_description","land_use_specific","land_use","land_use_intensity","species_study_name","genus","species","metric","sample_month","sample_start","sample_start_year","sample_end","sampling_method","sampling_effort","sampling_effort_unit","collection","sample_season","sample_daytime","development_stage","measurement","adjusted_measurement","species_studied","eco_name","biome","study_sample","measurement_adj","species_name","land_use_intensity_agg","LUI"
"1335",5182,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Nys.) triannulatus","Anopheles","triannulatus","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",23,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.00570436507936508,"Anopheles triannulatus","minimal","primary vegetation-minimal"
"1336",5183,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Ste.) kompi","Anopheles","kompi","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",163,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.0404265873015873,"Anopheles kompi","minimal","primary vegetation-minimal"
"1355",5202,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","April","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",118,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_6",4.91666666666667,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1356",5203,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","April","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",486,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_20",20.25,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1357",5204,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","August","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","dry","night","adult",20,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_1",0.833333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1358",5205,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","August","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","dry","night","adult",39,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_15",1.625,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1359",5206,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","December","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","dry","night","adult",15,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_2",0.625,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1360",5207,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","December","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","dry","night","adult",32,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_16",1.33333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1361",5208,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","February","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",560,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_7",23.3333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1362",5209,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","February","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",624,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_21",26,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1363",5210,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","January","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",131,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_8",5.45833333333333,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1364",5211,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","January","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",542,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_22",22.5833333333333,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1365",5212,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","June","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",191,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_9",7.95833333333333,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1366",5213,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","June","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",169,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_23",7.04166666666667,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1367",5214,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","March","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",139,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_10",5.79166666666667,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1368",5215,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","March","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",989,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_24",41.2083333333333,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1369",5216,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","May","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",164,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_11",6.83333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1370",5217,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","May","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",538,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_25",22.4166666666667,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1371",5218,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","October","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","dry","night","adult",9,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_3",0.375,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1372",5219,1432,-73.49358611,-4.226513889,"Prussing2018","CAH","1432_2","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","October","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","dry","night","adult",18,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_17",0.75,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1373",5220,1432,-74.21025278,-4.193180556,"Prussing2018","SEM","1432_3","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","August","2015-05",2015,"2015-09","HLC",24,"man hours","indoor","dry","night","adult",48,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_4",2,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1374",5221,1432,-74.21025278,-4.193180556,"Prussing2018","SEM","1432_3","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","August","2015-05",2015,"2015-09","HLC",24,"man hours","outdoor","dry","night","adult",70,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_18",2.91666666666667,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1375",5222,1432,-74.21025278,-4.193180556,"Prussing2018","SEM","1432_3","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","July","2015-05",2015,"2015-09","HLC",24,"man hours","indoor","wet","night","adult",52,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_12",2.16666666666667,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1376",5223,1432,-74.21025278,-4.193180556,"Prussing2018","SEM","1432_3","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","July","2015-05",2015,"2015-09","HLC",24,"man hours","outdoor","wet","night","adult",93,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_26",3.875,"Anopheles darlingi","minimal","primary vegetation-minimal"
